Canonical_SMILES,LD50_mgkg
CC(C)CCCCCCCCCCOCCCN,300.0
CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)Cc1ccccc1Cl)Cc1ccccc1Cl,18.5
CC(=O)OCCOCCOCCOC(C)=O,15594.0
CCCCCCC(C)(C)S,5550.0
CN1C(=O)OC(C)(C)C1=O,2140.0
O=C(OCc1ccccc1)c1ccccc1O,2227.0
CN(C)c1c(Cl)c(Cl)c(Cl)c2nc(C(F)(F)F)[nH]c12,22.0
C=C(C)C(=O)OCc1ccccc1,3980.0
Cc1nccn1Cc1ccccc1,1000.0
C/N=C(\O)Oc1cccc(C)c1,268.0
Nc1nc2ccc(OC(F)(F)F)cc2s1,45.0
CC(O)C(=O)O,3543.0
Cc1ccc(CNC2=NCCS2)cc1,200.0
CCOc1ccc([N+](=O)[O-])cc1,3300.0
CCC1(c2ccccc2)CCC(=O)NC1=O,600.0
CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)C(=O)Nc3ccccc32)cc1,1900.0
NCCCOCCOCCOCCCN,2850.0
Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,313.0
O=C(Nc1nc(-c2ccccc2)cs1)OCC(Cl)(Cl)Cl,550.0
CCc1ccc(=O)n(CSP(=S)(OC)OC)n1,30.0
CC(C)CC(CC(C)C)OCCOCCO,8680.0
c1ccc(-n2cnnc2)cc1,134.0
O=S(=O)(O)c1cccc(N=Nc2ccc(Nc3ccccc3)cc2)c1,5001.0
Nc1ccc2cc(S(=O)(=O)O)c(N=Nc3ccc(-c4ccc(N=Nc5c(S(=O)(=O)O)cc6cc(S(=O)(=O)O)cc(N)c6c5O)cc4)cc3)c(O)c2c1,6450.0
CCC(C)(C#N)N=NC(C)(C#N)CC,333.0
Cc1cc(=O)n(-c2ccccc2)n1C,1705.0
CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,3200.0
CCOP(=S)(OCC)Oc1ncn(-c2ccccc2)n1,57.0
Cn1c(=O)c2c(ncn2CCCCN2CCN(c3ccc(Cl)cc3)CC2)n(C)c1=O,505.0
COP(=S)(OC)SCn1nc(C)ccc1=O,8.75
N#CC1CC=CCC1,460.0
c1ccc2ncccc2c1,331.0
NCCN1CCOCC1,3000.0
O=[N+]([O-])c1cc(Cl)cc(-c2cc(Cl)cc([N+](=O)[O-])c2O)c1O,10.0
O=C1CCc2cc(C(=O)CCCN3CC=C(c4ccc(Cl)cc4)CC3)ccc2N1,500.0
CC(=O)c1ccc(OCC(=O)NN)cc1,1820.0
Cc1ccc([N+](=O)[O-])c(C)c1,1690.0
O=NN(CCCl)C(=O)NCCS(=O)(=O)N1CCCCC1,125.0
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,30.0
O=C(Oc1ccccc1)n1c(C(F)(F)F)nc2cc(Cl)c(Cl)cc21,240.0
CSc1ccc(O)cc1C,3400.0
CCCCc1c(OC(=O)c2ccc3c(c2)OCO3)n(-c2ccccc2)n(-c2ccccc2)c1=O,1373.0
CCC(CO)NC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,93.0
CC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-],1027.0
ONc1ccccc1,100.0
CCOC(=O)c1c[nH]c2cc(OCC3CC3)c(OCC3CC3)cc2c1=O,3000.0
COC(=O)NS(=O)(=O)c1ccc(N)cc1,2001.0
CN(C)CCCN,1870.0
c1cc(OCC2CO2)cc(OCC2CO2)c1,2570.0
CN(c1ccc(Cl)cc1Cl)c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1C(F)(F)F,4.5
CN(C)C,460.0
Clc1ccc2nsnc2c1NC1=NCCN1,414.0
CNC(=O)Nc1nnc(C(C)(C)C)s1,2001.0
O=C(O)C(Cc1cc(I)c(O)c(I)c1)c1ccccc1,1100.0
Cc1occc1C(=O)Nc1ccccc1,12900.0
CCC(N)Cc1c[nH]c2ccccc12,49.0
CCN(CC)CCc1nc(-c2ccccc2)no1,1650.0
C1=CC2C3C=CC(C3)C2C1,365.5
CCOc1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],5001.0
CCCCCCCCOC(=O)CC(C(=O)OCCCCCCCC)S(=O)(=O)O,1900.0
CC1NCCOC1c1ccccc1,165.0
CCCC1CC(C(=O)NC(C(C)Cl)C2OC(SC)C(O)C(O)C2O)N(C)C1,2619.0
C=CC1(C)OC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O,10000.0
C#CCCC#CC#CCCCCO,250.0
CC(C)=CCCC(C)CC(=O)O,2610.0
CC(C)O,4710.0
CC(C)CCCCCc1ccc(O)cc1,2150.0
CCCCCCCCCCCCCCCC[n+]1ccccc1,200.0
COc1nn(CSP(=S)(OC)OC)c(=O)s1,20.0
CCOP(=S)(OCC)SCn1nc(-c2ccccc2)ccc1=O,555.0
COc1cc(C(F)(F)F)ccn1,1750.0
CCOP(=O)(OCC)C(O)(C(F)F)C(F)F,3.4
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccccc1C(F)(F)F,1225.0
CCOP(=S)(CC)Sc1ccc(C(C)(C)C)cc1,141.0
CCCCC(CC)COP(=O)(O)OCC(CC)CCCC,4940.0
CNC(=O)c1cnn(C(C)(C)C)c1C#N,392.0
CN1C2CCC1CC(OC1c3ccccc3CCc3ccccc31)C2,445.0
O=[N+]([O-])c1c[nH]cn1,600.0
CC(CCC(=O)O)C(=O)O,300.0
COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)=O)C1c1ccccc1[N+](=O)[O-],1459.0
CCCCNCCCCCCN,536.0
CC(Cc1ccccc1)(NC(=O)CN)c1ccccc1,897.0
CN(C)c1ccncc1,250.0
CC(C)NCC(O)c1cc(O)cc(O)c1,3370.0
Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-],177.0
CNc1c2c(nn1C)CCCC2,1850.0
CC(=O)OC(C)(C)C,4100.0
Cc1nc(C)c(C)nc1C,1910.0
COc1ccc2ccc(=O)oc2c1,4300.0
CCOCn1c(-c2ccc(Cl)cc2)c(C#N)c(Br)c1C(F)(F)F,560.0
Nc1nc2cc(Cl)c(Br)cc2o1,140.0
O=C(Cl)CCCCl,1350.0
COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl,4000.0
O=C(COc1ccc(Cl)cc1Cl)OCC=CCCl,547.0
CCO[Si](CCCSC#N)(OCC)OCC,986.0
CCOP(=O)(O)C(N)=O,10125.0
S=c1[nH]c(=S)[nH]c(=S)[nH]1,9500.0
COC(OC)C(C)c1ccccc1,1850.0
C1CCC(NC2CCCCC2)CC1,373.0
CC(C)C(=O)OC1CCC(N2CCCCC2)CC1,3150.0
O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,4550.0
O=C(c1ccccc1)c1ccc(O)cc1O,8600.0
Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,1741.0
c1nnc(NCNc2nncs2)s1,260.0
COP(=S)(OC)OC1CCCCC1,2900.0
O=S(=O)(O)c1cc(Nc2nc(Nc3ccccc3)nc(N(CCO)CCO)n2)ccc1C=Cc1ccc(Nc2nc(Nc3ccccc3)nc(N(CCO)CCO)n2)cc1S(=O)(=O)O,12080.0
O=S(=O)(O)c1cc(O)ccc1O,7500.0
CC(C)NCC(O)COc1cccc2ccccc12,660.0
CC(C)(C)CC(C)(C)Nc1ncnc(N(CCCCCCNC2CC(C)(C)NC(C)(C)C2)C2CC(C)(C)NC(C)(C)C2)n1,9910.0
FC(F)(F)c1nc2c(Cl)cc(Cl)c(Cl)c2[nH]1,6.332
Cc1cccc(N(CCO)CCO)c1,3100.0
Cc1c(C(N)=O)cc([N+](=O)[O-])cc1[N+](=O)[O-],600.0
C=C(C#N)OC(C)=O,100.0
CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,2710.0
CC=C(C)C=CC=C(C)C,1900.0
CCOP(=S)(OCC)SCn1nc(C)ccc1=O,45.0
CN(C)C(=O)OC1=CC(=O)CC(C)(C)C1,120.0
C=COCCSCCCC,2830.0
Cc1ccccc1Cc1ccccc1,3015.0
O=Cc1ccc(O)cc1O,400.0
O=[N+]([O-])C(Br)Br,86.0
CCCCCCCCCCCCCCCC[n+]1ccccc1,475.0
c1ccncc1,1600.0
CCCCOCC(C)OCC(C)O,2610.0
CCCOP(=O)(OCCC)Oc1ccc(SC)cc1,61.0
O=C(O)c1ccc(Cl)c([N+](=O)[O-])c1,3150.0
CC(C)(O)Cc1ccccc1,1280.0
CCOC(=O)CCN(SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2)C(C)C,105.0
CN(C)C(=O)C(c1ccccc1)c1ccccc1,685.0
COc1cc(C)c2[nH]c(=O)sc2c1,7580.0
O=[N+]([O-])c1cccc2ccccc12,150.0
O=[N+]([O-])c1c(Cl)c([N+](=O)[O-])c2[nH]c(C(F)(F)F)nc2c1Cl,117.0
CC(C)CN,224.0
C=CC#N,78.0
N#CCO,8.0
C=CCOc1ccccc1C(=O)N(CC)CC,325.0
O=C(O)C1CCC(C(=O)O)CC1,1903.0
CCN(CC)c1ccc(C=O)cc1,6400.0
CCOC(=O)CC(C)=O,3980.0
Cc1ccccc1-c1nnc(NN)s1,120.0
CC(C)=CCCC(C)CCOC=O,8400.0
C=CC(=O)NC(C)C,375.0
C=CCOc1ccccc1C(=O)N(C)C,740.0
CC(C)(C)CC(C)(C)c1ccc(Nc2ccc(C(C)(C)CC(C)(C)C)cc2)cc1,5001.0
O=C(C(F)(F)F)C(F)(F)F,190.0
CCc1occc(=O)c1O,1150.0
Cc1ccc2ccc(=O)oc2c1,3800.0
CN(CCCCCC(=O)O)S(=O)(=O)c1ccccc1,3040.0
CCCCCCCCCCCC[N+](C)(C)CC(=O)O,71.0
N=C(Nc1ccccc1)Nc1ccccc1,107.0
C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1,1791.0
OCCN1CN(CCO)CN(CCO)C1,763.0
COc1ccc2c(c1)OC(C)(C)C(c1ccccc1)C2c1ccc(OCCBr)cc1,500.0
CC(=O)Oc1ccc(Oc2c(I)cc(C(=O)O)cc2I)cc1I,4600.0
COP(N)(=O)SC,9.25
CCN(COC(C)=O)N=O,810.0
CCOC(=S)c1ccc(Cl)cc1,995.0
CCCCCCOC(C)=O,42000.0
OC(c1cc(-c2ccc(C(F)(F)F)cc2)nc(C(F)(F)F)c1)C1CCCCN1,518.0
O=C(Nc1c(Cl)c(Cl)c(Cl)c2nc(C(F)(F)F)[nH]c12)c1ccccc1,100.0
Cc1ncc(CS)c(CS)c1O,549.0
O=C(CCCN1CCC2(CCCCC2)CC1)c1ccc(F)cc1,200.0
C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1,709.0
Cc1ccccc1N=Nc1c(N)ccc2ccccc12,120.0
Nc1ccc(S(=O)(=O)O)cc1,5380.0
O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,250.0
Clc1ccc(C(Cl)Cl)cc1,1910.0
CCOP(=S)(OCC)Oc1cc(-c2ccccc2)on1,112.0
CC(=O)OO,39.85
C=CC=O,11.05
CC(=O)CCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,720.0
CC[N+](CC)(CC)Cc1ccccc1,2219.0
OCCc1ccccn1,3842.0
CN(C)C(=O)Oc1ccc[n+](C)c1,37.5
CCSc1nc(NC(C)C)nc(NC(C)C)n1,3900.0
Cc1nc(Cn2cnc3c2c(=O)n(C)c(=O)n3C)no1,1549.0
CCOC(=O)c1c(C)cc2nc(COC(=O)NC)n(-c3ccccc3Cl)c(=O)c2c1C,2500.0
CC(COCC(C)OC(=O)c1ccccc1)OC(=O)c1ccccc1,3295.0
CCCCCCO,3210.0
CC(C)CNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,1100.0
O=C(O)CCC(=O)O,2260.0
c1ccc2c(c1)[nH]c1ccccc12,5001.0
CCOP(=O)(O)C(N)=O,2075.0
Oc1ccccc1,317.0
CN(Sc1ccc(Cl)c(Cl)c1)C(=O)Oc1cccc2c1OC(C)(C)C2,25.0
COP(=S)(OC)SCn1nnc2ccccc2c1=O,4.6
CNC(=O)Oc1cccc2ccc(C)nc12,120.0
OCC(O)C1OC2OC(C(Cl)(Cl)Cl)OC2C1O,400.0
NCCc1ccc(O)c(O)c1,2859.0
CCCCC(CC)COC(=O)CS,303.0
O=c1ccc2cc(CCCCN3CCN(c4ccccc4)CC3)ccc2[nH]1,500.0
CCCCN(CC)C(=O)SCCC,921.0
Cc1ccc2sc(C)nc2c1,957.0
O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])C1,100.0
Cc1ccc(/N=C/NSN(Cc2ccccc2)Cc2ccccc2)c(C)c1,1049.0
CC(C)=O,5800.0
Cc1ccc(S(=O)(=O)O)cc1,2570.0
COP(=S)(OC)Oc1ccc(S(C)(=O)=O)c(C)c1,125.0
Cc1ccc(NCCCc2ccccc2)cc1,1600.0
CC1C2CC(CC2C2CCCC(O)C2)C1(C)C,5001.0
O=C(Nc1ccc([N+](=O)[O-])cc1)OCc1cccnc1,14.0
N#CCC(=O)c1ccc(N)cc1,2263.0
CCN(CC)CCSC(=O)N(c1ccccc1)c1ccccc1,370.0
OCCCS,116.0
CCCCCCCC(=O)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCC,33300.0
Cc1ccc(S(=O)(=O)NN)cc1,283.0
COCCOCCO,5500.0
Cc1ncc(CO)c(CO)c1O,4000.0
c1ccc2c(c1)ncc1ncsc12,290.0
C[n+]1ccc(-c2cc[n+](C)cc2)cc1,97.5
CC(O)C(=O)O,3543.0
O=C(OCC1CCC2OC2C1)C1CCC2OC2C1,4490.0
CCCSCSP(=S)(OCC)OCC,2.8
O=C(C=Cc1ccccc1)OCCc1ccccc1,5001.0
CCOP(=O)(OCC)SCn1nc(Cl)c(C)cc1=O,27.0
C[Si](C)(C)N=C=N[Si](C)(C)C,1728.0
Oc1c(Cl)cc(Cl)cc1Cl,820.0
O=C(O)c1ccccc1,9274.0
COC(=O)C=C(C)OP(=O)(OC)OC,3.0
Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,56.6
Cc1cn(-c2cc(N)cc(C(F)(F)F)c2)cn1,50.0
C=C(Cl)C(Cl)=C(Cl)Cl,421.0
FC(F)(F)c1nc2cc(Cl)c(Cl)cc2[nH]1,7.881
Cn1cc[nH]c1=S,2250.0
Cc1c(C)c(C)c2[nH]c(C(F)(F)F)nc2c1C,58.0
O=C(O)c1ccccc1C(=O)Nc1ccccc1,8837.0
O=C(Oc1ccccc1)c1ccccc1C(=O)Oc1ccccc1,8000.0
Cc1cccc(C)c1,5001.0
CNc1ccc(C(O)(c2ccc(N(C)C)cc2)c2ccc(N(C)C)cc2)cc1,500.0
CCC(=O)C1(c2cccc(O)c2)CCN(C)CC1,215.0
CC(C)=CCCC(C)=CCO,4500.0
NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,10000.0
COc1ccc([N+](=O)[O-])cc1CNCCBr,20.0
OCCN1CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1,1110.0
CC(C)(C#N)N=NC(C)(C)C#N,100.0
Cc1ccc(O)c(C)c1,2300.0
Nc1nc2cc(F)ccc2o1,1000.0
CCCCCCOCCOC(=O)CCCCC(=O)OCCOCCCCCC,4290.0
Oc1c(Br)c(Br)c(Br)c(Br)c1Br,200.0
CCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCC,9110.0
CCOP(=S)(OCC)SCSc1ccc(Cl)c(Cl)c1,89.0
CC(C)(C)c1ccc(CCC=O)cc1,2700.0
Cc1cc(OC(=O)N(C)C)nn1C(=O)N(C)C,25.0
CC(NNC(=O)c1ccccc1)c1ccccc1,675.0
CC(C)Nc1ccccc1,560.0
CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,74.0
O=C(O)c1ccccc1Nc1cccc(Cl)c1CO,2400.0
CC1(C)CC(N)CC(C)(C)N1,906.0
CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(C(C)=O)c1,2157.0
CC/N=c1/nc(Cl)[nH]/c(=N\C(C)CC)[nH]1,3000.0
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,166.0
CCC(C)(C)c1ccc(O)cc1,1830.0
OCCF,5.0
Nc1cccc(N)c1,280.0
CCc1ccc(CCO)nc1,4290.0
O=C(O)Cc1sc(-c2ccccc2)nc1-c1ccc(Cl)cc1,409.0
Cn1cc(C(=O)C2CCc3[nH]cnc3C2)c2ccccc21,1264.0
CC1CCC(C(C)C)C(O)C1,2046.0
COP(=O)(SC)SC,26.0
CCS(=O)CC,5650.0
CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,1146.0
CN(CCO)c1ccccc1,2830.0
CC(Cl)C(Cl)Cl,1230.0
Clc1ccc(C2(Cn3cncn3)OCCO2)c(Cl)c1,308.0
O=[N+]([O-])c1ccc(Sc2ccc([N+](=O)[O-])cc2)cc1,1490.0
N=C(N)N,729.8
CC(=O)OCc1ccc(C(C)C)cc1,1450.0
CCOC(=O)c1ccc([N+](=O)[O-])cc1,2660.0
COP(=S)(S)OC,694.0
O=C(O)CS,25.0
CCOP(=S)(OCC)Oc1ccc(SC)c(C)c1,14.0
O=S(=O)(O)c1cccc2c(S(=O)(=O)O)cccc12,30000.0
O=[N+]([O-])c1ccc(Cl)c2nc(C(F)(F)F)[nH]c12,11.069
O=[N+]([O-])c1nccn1CC(O)CO,5076.0
CC(=O)CC(=O)Nc1ccccc1,2450.0
C=C1C(=O)OC2CC(C)C3C=CC(=O)C3(C)C(O)C12,125.0
CS(=O)(=O)c1ccc(N)c(Cl)c1,9500.0
CN(C)CCOc1ccc(C(=C(CCCl)c2ccccc2)c2ccccc2)cc1,1700.0
Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C,1160.0
Cc1cc(C(=O)Nc2ccccc2)c(C)o1,64.0
CN(CCO)c1nc(Nc2ccccc2)nc(Nc2ccc(C=Cc3ccc(Nc4nc(Nc5ccccc5)nc(N(C)CCO)n4)cc3S(=O)(=O)O)c(S(=O)(=O)O)c2)n1,6887.0
Cn1c(=O)c2c(ncn2C)n(C)c1=O,192.0
C1CNCCNC1,2830.0
CCOCCCO,7000.0
Cc1cc2[nH]c(C(F)(F)F)nc2c([N+](=O)[O-])c1C,67.0
ClC(Br)Br,370.0
CCCOC=O,3980.0
Cc1ccc(S(=O)(=O)Oc2c(C(=O)c3ccc(Cl)cc3Cl)c(C)nn2C)cc1,9550.0
c1ccc(P(N=P(c2ccccc2)(c2ccccc2)c2ccccc2)c2ccccc2)cc1,6480.0
CCC(C)=CCCC(C)=CC#N,2600.0
COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1,444.0
S=C1NCCNC(=S)S1,240.0
Cc1ccccc1O,121.0
O=C(O)c1ccccc1C(=O)Nc1cccc2ccccc12,1770.0
CCOP(=O)(OCC)Oc1ccc(S(C)(=O)=O)cc1,5.012
CCC(=O)c1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2,600.0
CC=Cc1ccc(OC)cc1,2090.0
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccccc1Cl,880.0
O=C(O)C(O)C(O)C(=O)O,4748.0
CSCc1cnccn1,2150.0
C=C(C)C(=O)OCC(=O)OCC,7880.0
C#CC(=NOCC1OCCO1)c1ccccc1,5001.0
OC(c1ccccc1)c1ccccc1,5001.0
COc1c(OP(=O)(OCC(C)C)OCC(C)C)cn[nH]c1=O,36.0
CN(C)Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,365.0
CC(C)C(Br)C(=O)O,769.0
FC(F)(F)c1ccccc1Br,2720.0
O=C(O)CC1(CO)CCCCC1,20.0
ClCCOCOCCCl,65.0
CC[N+](CC)(CC)CCC(O)(c1ccccc1)C1CCCCC1,1100.0
CNCCO,1391.0
ClCCN(CCCl)CCCl,5.0
CO[Si](C)(CCCNCCN)OC,200.0
C=CC(C)CCCC(C)(C)O,3600.0
COB(OC)OC,6140.0
N#Cc1cc2[nH]c(C(F)(F)F)nc2c(Cl)c1Cl,3955.0
CCCSP(=O)(OCC)Oc1c(Cl)cc(Cl)cc1Cl,151.0
C=CC(OC(C)=O)OC(C)=O,35.0
O=C(O)c1cc(Cl)ccc1C(=O)c1ccccc1,3700.0
CC(C)CCOC=O,9840.0
Cc1cn(C2CC(N=[N+]=N)C(CO)O2)c(=O)[nH]c1=O,3084.0
CC(Cl)(Cl)C(=O)OCCOc1cc(Cl)c(Cl)cc1Cl,1000.0
C[N+](=O)[O-],940.0
CCOP(c1ccccc1)c1ccccc1,316.0
CC(C)(C)NCC(O)COc1nsnc1N1CCOCC1,1028.0
CCOC(=O)N1CC=Cc2ccccc21,195.0
CCc1cccc(CC)c1N(CC(=O)O)C(=O)CCl,2300.0
CCCCNC(=O)OCC(C)(CCC)COC(N)=O,1040.0
CCCCNCCC[Si](OC)(OC)OC,12825.0
[O-][n+]1cc[n+]([O-])c2ccccc21,500.0
Nc1cc(Cl)ccc1Cl,1600.0
O=C(Cl)c1ccc(Cl)cc1Cl,4640.0
CCOc1ccc(N)cc1,2080.0
CC(C)(C)C1CCC(NCCC(c2ccccc2)c2ccccc2)CC1,2550.0
CN(C)c1ccc(N=Nc2ccc(S(=O)(=O)O)cc2)cc1,60.0
CCCCN(CCCC)C(=O)SCc1ccccc1,5600.0
Nc1ccc(C=Cc2ccc([N+](=O)[O-])cc2S(=O)(=O)O)c(S(=O)(=O)O)c1,14200.0
CC(C)=CCOC(=O)c1ccccc1,4700.0
Fc1c(F)c(F)c2[nH]c(C(F)(F)F)nc2c1F,3.334
CN(C)C(=O)Nc1ccc(SC(F)(F)Cl)c(Cl)c1,336.0
CCCCCCCCCCCCCCO,5001.0
C=CCC1(C(C)CCC)C(=O)N=C(O)NC1=O,125.0
COC(=O)C1C(C)=NC(C)=C(C(=O)OCC=Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,2968.0
COc1cc(N)ccc1N,60.0
CCC(=O)OC1CCC(N2CCCCC2)CC1,1980.0
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,4400.0
Cc1ccc(Cc2ccc(C)cc2)cc1,1700.0
CC1(C)CO1,3890.0
O=P(O)(O)CCCl,3400.0
CCCC(=O)C1c2cccc(O)c2C(=O)c2c(O)cccc21,1579.0
CCCCCCCC(=O)OCC,25960.0
CN(C)CCC#N,2600.0
CNC(=O)Oc1cc(C(C)(C)C)cc(C(C)(C)C)c1,1800.0
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,38.5
CCC(C)N,152.0
NC(=O)C1c2ccccc2CCc2ccccc21,2400.0
O=[N+]([O-])c1cccc(S(=O)(=O)O)c1,11000.0
CC1(C)C(=O)N(Br)C(=O)N1Cl,485.0
Oc1ccc(-c2ccccc2)cc1CN1CCCCC1,30.0
CCNC(=O)Cc1ccccc1,756.0
O=c1c2ccccc2c(=O)c2c1ccc1[nH]c3c(ccc4c(=O)c5ccccc5c(=O)c43)[nH]c12,2001.0
COC(=O)c1ccccc1OC,3800.0
CCCCCc1ccccc1O,700.0
CCCCOP(=O)(OCCCC)OCCCC,1395.0
CC(=O)OCc1ccc2c(c1)OCO2,2100.0
CC(=O)CCC(C)C,2542.0
CCC1(CC)COC(=O)NC1=O,71.0
O=C(OC1CC2CCC(C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1,1510.0
Clc1ccc(Cl)c(Cl)c1Cl,1167.0
CC[Se][Se]CC,90.0
O=C(O)CC(O)(CC(=O)O)C(=O)O,1580.0
CO[Si](OC)(OC)c1ccccc1,1049.0
Nc1nncs1,253.0
CCOc1ccc(-c2ccccc2)cc1CN1CCCC1,30.0
CCOC(=O)C(SP(=S)(OC)OC)c1ccccc1,71.0
O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C1,5500.0
CNC(=O)Oc1ccc(CCC#N)cc1,620.0
O=C(O)CCl,76.0
C/N=C(\O)Oc1cccc2c1OC(C)C2,43.0
O=P1(N(CCCl)CCCl)NCCCO1,94.0
c1nc(NC2CC2)c2ncn(CC3CC3)c2n1,160.0
CCn1c2ccccc2c2cc(N)ccc21,144.0
CCN(CC)CCOc1ccc(C(=C(Cl)c2ccccc2)c2ccccc2)cc1,5750.0
O=CO,1100.0
COc1cc(CN2CCN(C(=O)c3cc4ccccc4o3)CC2)cc(OC)c1OC,1000.0
NC(CCC(=O)O)C(=O)O,14700.0
COc1ccc(Cl)cc1N/C(=N/C1CCCCC1)c1ccccc1,625.0
COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(Cl)c1,285.0
Fc1ccc(SCc2ccc(Cl)cc2)cc1,3000.0
O=C1c2ccccc2C(=O)c2c(Nc3ccc(Oc4ccc(S(=O)(=O)O)cc4)cc3)ccc(Nc3ccc(Oc4ccc(S(=O)(=O)O)cc4)cc3)c21,8550.0
OCCS,244.0
O=C(O)Cc1c(Cl)ccc(Cl)c1Cl,1780.0
O=C1CCc2cc(C(=O)CCN3CCN(c4cccc(Cl)c4)CC3)ccc2N1,500.0
CCCCOC(=O)C=CC(=O)OCCCC,8530.0
O=C(O)Cc1ccccc1Oc1ccc(Cl)cc1Cl,2280.0
