LD50_mgkg,Canonical_SMILES
3000.0,COc1cc(C(=O)Oc2c(CCC(C)=O)c(=O)n(-c3ccccc3)n2-c2ccccc2)cc(OC)c1OC
24500.0,O=C(O)c1c(O)c(O)cc2ccccc12
763.0,S=c1[nH]n(-c2ccccc2)c(=S)s1
4617.0,O=[n+]1c2ccccc2n([O-])c2ccc3ccccc3c21
6500.0,O=C(O)c1ccccc1-c1ccccc1CO
150.0,COP(=O)(OC)SCC(Cl)(Cl)Cl
69.0,CS(=O)(=O)c1ccc2nc(C(F)(F)F)[nH]c2c1
225.0,CC(=O)CNC(C)(C)Cc1ccccc1
100.0,Oc1c(Cl)c(Cl)cc(Cl)c1Cc1c(Cl)cc(Cl)c(Cl)c1O
16.0,CN(C)C(=O)Oc1ccccc1C1SCCS1
4.6,S=C1NCNCN1
24.0,COP(=O)(OC)Oc1ccc([N+](=O)[O-])c(C)c1
120.0,COc1ccc2c3c1O[C@H]1[C@H](N=[N+]=[N-])CC[C@H]4[C@@H](C2)N(C)CC[C@@]341
1225.0,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccccc1C(F)(F)F
3000.0,CC(=O)Oc1c(Br)cc(Cl)cc1C(=S)Nc1ccc(Br)cc1
3.334,Fc1c(F)c(F)c2[nH]c(C(F)(F)F)nc2c1F
400.0,CNC(=O)ON=C1CSCCSC1
825.0,CCN(CC)C(=O)Cc1ccccc1
960.0,CN1CCN(CC(=O)NN=Cc2ccc([N+](=O)[O-])o2)CC1.Cl.Cl
1000.0,Cc1nn(C)c(=O)c2noc(C)c12
1000.0,O=c1[nH]nc(-c2ccccc2)c2conc12
5700.0,CC(C)(C(=O)O)S(C)(=O)=O
1540.0,COC(=S)SSC(Cl)(Cl)Cl
750.0,O=CNc1ccc(Cl)cc1
2020.0,CCC(C)=C1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
230.0,Cc1cc(-n2c(C)nc3ccccc3c2=O)cc(C)c1O
38300.0,OCCNC1CCCCC1
2000.0,CCCCOC(=O)c1ccc(-n2nc(OCc3ccccc3)c3ccccc32)cc1
2280.0,CCOCC(=O)Nc1ccc(C(=O)c2ccccc2)cc1C
1330.0,COS(=O)(=O)[O-].COc1cc(N)cn[n+]1-c1ccccc1
10000.0,CN1CCCC(=C(c2cccs2)c2cccs2)C1.O=C(O)c1ccccc1C(=O)c1ccc(O)cc1
4000.0,CCN(CC)C(=O)c1cc(=O)c2ccccc2o1
930.0,C=CC(=O)Nc1ccc(O)cc1
5000.0,FC(F)C(F)(F)Oc1ccccc1
4.768,CN(C)S(=O)(=O)c1c(Cl)c(Cl)c(Cl)c2[nH]c(C(F)(F)F)nc12
250.0,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C(F)(F)F)c1
300.0,O=C(CN1CCNCC1)NN=Cc1ccc([N+](=O)[O-])o1
789.0,CCNc1nc(=O)nc(NC(C)(C)C(=O)O)[nH]1
67.0,Nc1ccc2nc(C(F)(F)F)[nH]c2c1
1600.0,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)[N@@+](C)([O-])CC[C@@]341
1040.0,CC1(NC(N)=O)CCCCC1
15.0,NC(=S)Nc1ccc(Cl)cc1
450.0,CCOP(=S)(OCC)Oc1ccc(N)cc1
125.0,CN(SC(Cl)(Cl)Cl)C(=O)Oc1cccc2c1OC(C)(C)C2
395.0,O=c1c2ccccc2nc2n1OCC2
42.9,COP(=O)(OC)Sc1ccc([N+](=O)[O-])cc1
1740.0,CN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21
6.35,NC(=S)NNCNNC(N)=S
46.0,CCC1(CC)Oc2cccc(OC(=O)NC)c2O1
1000.0,COc1cc(CN2CCN(C(=O)c3cc4ccccc4o3)CC2)cc(OC)c1OC.Cl
2.61,FC(F)(F)c1nc2c(Cl)ccc(Cl)c2[nH]1
2940.0,Nc1ccc2sc(-c3ccccc3)nc2c1
8837.0,O=C(O)c1ccccc1C(=O)Nc1ccccc1
712.0,CCSC(=S)N(CC)CC
25.0,CN(Sc1cc(Cl)ccc1Cl)C(=O)Oc1cccc2c1OC(C)(C)C2
2040.0,CNS(=O)(=O)OCC(=O)N1CCCCCC1
555.0,CCOP(=S)(OCC)SCn1nc(-c2ccccc2)ccc1=O
1370.0,O=C(O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-]
322.0,O=c1ccc2ccc3occc3c2o1
1840.0,C[C@@H](NCCc1ccc(O)cc1)[C@@H](O)c1ccc(O)cc1.Cl
25000.0,Nc1nc[nH]n1
700.0,O=c1[nH]c2cc(Cl)c(Cl)cc2o1
2490.0,CC(=O)OCc1ccccc1
1231.0,ClCc1ccccc1
550.0,COc1ccc(N)cc1Cl
8.471,FC(F)(F)c1nc2c(Br)c(Cl)c(Br)cc2[nH]1
1224.0,ClCc1cccc(Oc2ccccc2)c1
192.0,Cn1c(=O)c2c(ncn2C)n(C)c1=O
3000.0,CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1.CS(=O)(=O)O
560.0,O=[N+]([O-])c1ccccc1Cl
655.0,Cc1ccc(N)cc1Cl
1053.0,CN(C)C(=O)Nc1ccc(Cl)cc1
37.5,O=[N+]([O-])C(Cl)(Cl)Cl
242.0,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl
720.0,[Cl-].[NH3+]C1CCCCC1
1480.0,CC=CC[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C
2147.0,CN(C)N=Nc1nc[nH]c1C(N)=O
8500.0,O=C(NCCc1ccc(O)cc1)c1cccnc1
1500.0,CC[C@@H](COC(=O)c1cc(OC)c(OC)c(OC)c1)[NH+](C)CC[NH+](C)[C@@H](CC)COC(=O)c1cc(OC)c(OC)c(OC)c1.[Cl-].[Cl-]
800.0,CC(Oc1ccc(Cl)cc1Cl)C(=O)O
666.0,O=C(O)COc1ccc(Cl)cc1Cl
982.0,*C.CCCCCCCOC(=O)COc1ccc(Cl)cc1Cl
1947.0,CC(Cl)CCl
470.0,O=C1c2ccccc2C(=O)C1c1c(Cl)cccc1Cl
500.0,CNc1ccc(C(O)(c2ccc(N(C)C)cc2)c2ccc(N(C)C)cc2)cc1
220.0,COP(=S)(OC)SCCNC(C)=O
25.0,O=[N+]([O-])c1ccc(O)c(CNCCCl)c1
30.0,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1
160.0,O=NN1CCN(N=O)CC1
893.0,Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
2100.0,O=C1C=CC(=O)N1c1c(F)c(F)c(F)c(N2C(=O)C=CC2=O)c1F
1230.0,C=CCc1ccc(OC)cc1
1320.0,CCc1cc(C(N)=S)ccn1
2000.0,O=C(Cc1ccc(O)c(O)c1)c1ccc(O)c(O)c1O
330.0,C1CO1
2130.0,C1CC2OC2CC1C1CO1
45000.0,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC
1414.0,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1
6330.0,CC(=O)OCC=C(C)CCC=C(C)C
208.0,COC(=O)C(C(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12)C(=O)OC
150.0,COc1ccc2c(c1)OC(C)(C)C(c1ccccc1)=C2c1ccc(OCCN2CCCC2)cc1.Cl
1000.0,c1ccc2[nH]ccc2c1
689.0,CN(C)c1ccc(O)cc1.Cl
215.0,CCC(=O)C1(c2cccc(O)c2)CCN(C)CC1.Cl
2.5,CCOP(=S)(OCC)Oc1cnn(C)c(=O)c1OC
2250.0,COc1ccc([N+](=O)[O-])cc1N
720.0,c1ccc(Cn2cncn2)cc1
5000.0,COc1ccc(C(=O)c2ccccc2)cc1
5.012,CCOP(=O)(OCC)Oc1ccc(S(C)(=O)=O)cc1
390.0,CCC(CC)CN
725.0,Nc1ccc(Oc2ccc(N)cc2)cc1
938.0,Cl.N=C(N)NC(=N)NCCc1ccccc1
150.0,CCC1(c2ccccc2)C(=O)N=C([O-])NC1=O.[Na+]
1470.0,CC1(C)COC1=O
3458.0,CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1
480.0,CCCN(N=O)C(N)=O
22000.0,CC(O)CO
15600.0,O=C(O)c1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O
24.0,CCOP(=O)(OCC)C(SCC)(Sc1ccccc1)P(=O)(OCC)OCC
2080.0,c1ccc2[nH]c(-c3cscn3)nc2c1
23.0,S=P(N1CC1)(N1CC1)N1CC1
179.0,CCOP(=O)(OCC)SC(C)C
1150.0,C=CCOc1ccccc1C(=O)NCCO
9600.0,CC(Cl)(Cl)Cl
438.0,COP(=O)(OC)C(O)C(Cl)(Cl)Cl
840.0,Cc1ccc(C(=CCN2CCCC2)c2ccccn2)cc1.Cl.O
600.0,O=C([O-])C(c1ccc(Cl)cc1)c1ccc(Cl)cc1.[Na+]
37000.0,CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC
2180.0,C=CCSC(=S)SC(Cl)(Cl)Cl
5000.0,O=C1c2ccc(O)c(O)c2C(=O)c2c(Nc3ccc(O)cc3)ccc(Nc3ccc(O)cc3)c21
48.5,CNC(=O)Oc1ccc(NC(=O)C(F)(F)Cl)c(C)c1
800.0,CC(Cl)C(=O)O
100.0,CC(=O)CCl
14000.0,CCCCCCC=O
28.0,FC(F)(F)c1nc2c(Br)cccc2[nH]1
1020.0,CC(C)c1ccc(CO)cc1
1165.0,CC(=O)C=O
250.0,NC(=S)NC(=S)Nc1ccccc1
710.0,CCC(C)(O)CC
3550.0,CCCCO[Si](OCCCC)(OCCCC)N(C)C1CCCCC1
3350.0,CC(C)CO
1870.0,CC(=O)c1cccc(N)c1
1650.0,Cc1ccc(N(C)C)cc1
170.0,O=[N+]([O-])c1ccc(O)cc1
11500.0,Cc1ccc(S(=O)(=O)Oc2cc(S(=O)(=O)O)cc3cc(S(=O)(=O)O)cc(N)c23)cc1
887.0,COc1ccc2c(c1)c(CC(=O)Oc1ccc(NC(C)=O)cc1)c(C)n2C(=O)c1ccc(Cl)cc1
381.0,CC(C)(C)CC(C)(C)N
15000.0,CCCCCCCCCCCCCCSC#N
840.0,CN1Cc2ccccc2C(=O)c2cc(CC(=O)O)ccc21
160.0,CNC(=O)Oc1ccccc1C(OC)OC
14470.0,CCOC(=O)CCCCCCCCC(=O)OCC
28710.0,CCCCCC
1900.0,O=C(c1ccccc1)c1ccccc1
6400.0,CCN(CC)c1ccc(C=O)cc1
930.0,Clc1ccc(Cl)c(Cl)c1
1580.0,COc1cc(C=O)ccc1O
597.0,COc1cccc(O)c1
3600.0,COc1ccc(OC)cc1
2.6,CCOP(=S)(OCC)SCCSCC
4528.0,CC(=O)C(C)C
2590.0,CCCCC(C)=O
250.0,C=CC(=O)OCC(C)O
5000.0,C=C(C)C(=O)OCc1ccccc1
140.0,Oc1cc(Cl)c(Cl)c(Cl)c1Cl
67.0,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(OC(F)F)cc1
4700.0,COc1ccc(CCl)cc1OC
8550.0,O=C1c2ccccc2C(=O)c2c(Nc3ccc(Oc4ccc(S(=O)(=O)O)cc4)cc3)ccc(Nc3ccc(Oc4ccc(S(=O)(=O)O)cc4)cc3)c21
2160.0,COc1ccc(C(=O)CCC(=O)[O-])c2cc(C)oc12.[Na+]
1500.0,Cc1ncc2cscc2c1O.Cl
21.0,COc1ccc2c(c1)c(CC(=O)[O-])c(C)n2C(=O)c1ccc(Cl)cc1.O.O.O.[Na+]
2400.0,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1
0.34,C=C1C(=CC=C2CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]23)C[C@@H](O)C[C@@H]1O
5000.0,NC(=O)[C@@H]1CCCN1
320.0,O=NN1CCc2ccccc21
10000.0,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O
118.0,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1
250.0,CC(C)(N)Cc1ccc(Cl)cc1
142.0,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
180.0,Cc1ccc(N)cc1Br
1780.0,O=C1CN2CCOC2(c2ccccc2Cl)c2cc(Cl)ccc2N1
149.0,N#CC(CCN1CCC(C(=O)O)(c2ccccc2)CC1)(c1ccccc1)c1ccccc1
23.75,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O
1900.0,CCOc1c(N2CCOCC2)cnn(C)c1=O
681.0,CN[C@@H](C)[C@H](O)c1ccccc1
3509.0,CCc1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1Cl
17000.0,Cn1c(=O)c2c(ncn2CCOC(=O)C(C)(C)Oc2ccc(Cl)cc2)n(C)c1=O
17.0,C=CCn1c(=O)c2[nH]c(C)nc2n(CC(C)C)c1=O
300.0,CCC(C)(C)NC(N)=NC#N
475.0,N=C(N)N
353.0,Cl.Cl.Cn1c(=O)c2c(ncn2CCCCCN2CCN(c3ccc(Cl)cc3)CC2)n(C)c1=O
1030.0,CN(C)C=Nc1c(I)cc(I)c(CCC(=O)O)c1I
6200.0,COc1ccc(-c2nc(C)c(C(N)=O)s2)cc1OC
1750.0,Cc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1
8.3,CO[C@H]1[C@@H](O)C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@@H]1C
1180.0,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1.[Cl-]
15370.0,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1
60.0,C[N+]([O-])(CCCl)CCCl.Cl
267.0,CN1Cc2c(N)cccc2C(c2ccccc2)C1
2250.0,CC[N+]1(C)[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12.[Br-]
720.0,CC(=O)CCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
2500.0,CC(COc1ccccc1)N(CCCl)Cc1ccccc1
660.0,CN[C@@H](C)[C@@H](O)c1ccccc1
8790.0,CCCCOC(C)OCCCC
358.0,O=C1C(CCS(=O)c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1
3600.0,O=C(Cn1c(=O)sc2ccc(Cl)cc21)N1CCN(CCO)CC1
2000.0,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1C1=COCCO1
2924.0,ClC(Cl)(Cl)c1cccc(C(Cl)(Cl)Cl)c1
14130.0,CN(CCO)CC(O)Cn1cnc2c1c(=O)n(C)c(=O)n2C.O=C(O)c1cccnc1
41.0,Oc1ccc2nc(C(F)(F)F)[nH]c2c1
7.372,Fc1cc(Cl)cc2[nH]c(C(F)(F)F)nc12
7.752,Cc1ccc2[nH]c(C(F)(F)F)nc2c1[N+](=O)[O-]
2.293,Fc1cc(F)c2nc(C(F)(F)F)[nH]c2c1F
33.0,COc1c(Cl)c(Cl)c2[nH]c(C(F)(F)F)nc2c1Cl
0.8,Clc1cc2c(c(Cl)c1Cl)Oc1cc(Cl)c(Cl)c(Cl)c1O2
4825.0,CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1
14.0,Nc1ccncc1
1100.0,CC(C)N1C(=O)c2ccccc2NS1(=O)=O
430.0,CC1=C(C(=O)Nc2ccccc2)SCCO1
4102.0,CCOC(=O)c1ccccc1S(=O)(=O)NC(=O)Nc1nc(Cl)cc(OC)n1
66.7,CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C
1660.0,CC1=C(C)S(=O)(=O)CCS1(=O)=O
2650.0,c1ccc2c3c([nH]c2c1)CCCC3
768.0,C=CC(=O)OC
60.0,COC(=O)Cl
131.98,CI
940.0,Clc1cccc(C(Cl)(Cl)Cl)n1
1250.0,CCN(CC)c1nc(C)cc(OP(=S)(OC)OC)n1
5.0,[C-]#N.[K+]
1780.0,CC(=O)OC(C)=O
2450.0,CC(=O)CC(=O)Nc1ccccc1
236.0,CCC(O)(CC)c1[nH]ncc1Cl
200.0,Nc1ccccn1
74.0,OCCN1CC1
620.0,[O-][N+](=Nc1ccccc1)c1ccccc1
6670.0,Cl.Nc1ccc(N=Nc2ccccc2)c(N)c1
256.0,Nc1cccc(Cl)c1
85.0,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341.O=P(O)(O)O
625.0,C[NH2+]C.O=C([O-])COc1ccc(Cl)cc1Cl
2000.0,CC1=CC(C)(C)Nc2ccccc21
5370.0,COCCOC
2968.0,O=C(O)CO
1410.0,Cc1occc(=O)c1O
200.0,Cc1c(O)cccc1O
4000.0,CNC=O
7500.0,O=C(O)C(=O)O
1000.0,CN(C(=O)CN(CCO)CC(=O)N(C)C(C)(C)Cc1ccccc1)C(C)(C)Cc1ccccc1
520.0,C[NH+](C)CCC(c1ccccc1)c1cccc[nH+]1.O=C([O-])C=CC(=O)[O-]
750.0,CC(CCN(C)C)N(C)C
1000.0,C=CCn1c(=O)n(CC=C)c(=O)n(CC=C)c1=O
1600.0,c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1
100.0,ClCCOP(OCCCl)OCCCl
4729.0,CC(C)(C)S
400.0,Cc1ccc(S(=O)(=O)O)cc1
6860.0,CC(=O)OCCOC(C)=O
3360.0,Cc1ccc(O)c([N+](=O)[O-])c1
4843.0,O=C(OCCOCCOC(=O)c1ccccc1)c1ccccc1
975.0,O=C=Nc1cccc(C(F)(F)F)c1
1010.0,N#CCC(=O)O
113.0,C1=CCC=C1
4390.0,CC1=CCC(=C(C)C)CC1
10000.0,CCCCCCCCCCCCCCCCCCCCO
5000.0,CCOCCC(=O)OCC
2600.0,CN(C)CCC#N
1345.0,OP(O)c1ccccc1
7080.0,CCCCO[PH](=O)OCCCC
1000.0,CC(C)(c1ccc([O-])cc1)c1ccc([O-])cc1.[Na+].[Na+]
9330.0,CO[SiH](OC)OC
540.0,COP(=S)(Cl)OC
9300.0,O=C(O)CC(O)C(=O)O
1000.0,CCCCCCCCC=CCCCCCCCCNCCCN
5000.0,O=S(=O)([O-])c1cc(Nc2nc(Nc3ccccc3)nc(N3CCOCC3)n2)ccc1C=Cc1ccc(Nc2nc(Nc3ccccc3)nc(N3CCOCC3)n2)cc1S(=O)(=O)[O-].[Na+].[Na+]
4571.0,CC(COC(=O)c1ccccc1)OC(=O)c1ccccc1
22600.0,*C.*C.CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC
1500.0,CCCCNC(=O)OCC#CI
12080.0,O=S(=O)(O)c1cc(Nc2nc(Nc3ccccc3)nc(N(CCO)CCO)n2)ccc1C=Cc1ccc(Nc2nc(Nc3ccccc3)nc(N(CCO)CCO)n2)cc1S(=O)(=O)O
12080.0,CC(O)CN(CC(C)O)c1nc(Nc2ccc(S(=O)(=O)[O-])cc2)nc(Nc2ccc(C=Cc3ccc(Nc4nc(Nc5ccc(S(=O)(=O)[O-])cc5)nc(N(CC(C)O)CC(C)O)n4)cc3S(=O)(=O)[O-])c(S(=O)(=O)[O-])c2)n1.[Na+].[Na+].[Na+].[Na+]
4200.0,O=C1C(N(CO)C(=O)NCO)N(CO)C(=O)N1CO
1671.0,O.O.O=c1[n-]c(=O)n(Cl)c(=O)n1Cl.[Na+]
153.0,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1
112.0,O=C1C=CC(=O)c2c(O)cccc21
1270.0,Br.CN1[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12
950.0,CC1(C)COCN1
630.0,O=C(O)COc1nc(Cl)c(Cl)cc1Cl
460.0,C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O
750.0,CC(C)[C@@]1(O)[C@@H](OC(=O)c2ccc[nH]2)[C@@]2(O)[C@@]3(C)C[C@]4(O)O[C@@]5([C@H](O)[C@@H](C)CC[C@]35O)[C@@]2(O)[C@@]14C
66.0,CSC(C)=NOC(=O)N(C)SN(C)C(=O)ON=C(C)SC
512.0,COC(=O)C(C)Oc1ccc(Oc2ccc(Cl)cc2Cl)cc1
5350.0,O=C(Nc1ccccc1)Nc1cnns1
290.0,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1.Cl
375.0,C=CC(=O)NC(C)C
300.0,Cc1ccc(C(=O)CC(=O)C(F)(F)F)cc1
6600.0,CCCCCC1CCC(=O)O1
9600.0,CCOC(=O)Nc1cccc(OC(=O)Nc2ccccc2)c1
10537.0,CC(C)N.O=C(O)CNCP(=O)(O)O
567.0,C[C@@H](Oc1ccc(Cl)cc1Cl)C(=O)O
2712.0,CCCCOC(=O)[C@@H](C)Oc1ccc(Oc2ccc(C(F)(F)F)cn2)cc1
57.0,CCOP(=O)(SC(C)CC)N1CCSC1=O
17.0,ClCCSCCCl
117.0,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1
1465.0,CCNc1nc(NC(C)C)nc(OC)n1
1800.0,CON(C)C(=O)Nc1ccc(Cl)cc1
